"Faixa Etaria";"Masc";"Fem";"Ign";"Total"
"5 a 9 anos";3;1;-;4
"10 a 14 anos";68;67;-;135
"15 a 19 anos";526;187;-;713
"20 a 24 anos";778;181;-;959
"25 a 29 anos";888;173;-;1061
"30 a 34 anos";915;232;1;1148
"35 a 39 anos";848;249;1;1098
"40 a 44 anos";747;218;-;965
"45 a 49 anos";776;213;-;989
"50 a 54 anos";731;207;-;938
"55 a 59 anos";588;128;-;716
"60 a 64 anos";411;114;-;525
"65 a 69 anos";394;85;-;479
"70 a 74 anos";271;50;-;321
"75 a 79 anos";213;39;-;252
"80 anos e mais";213;35;-;248
"Idade ignorada";21;2;1;24
"Total";8391;2181;3;10575
 
